"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00129606","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","SelectComfort (PRR): Found while testing BVC-112586","5.2.2","","","3/16/2012","C4","Closed","1.00","0.000","1.000"
"00129312","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Jcpportraits: TS issues","5.2.1","","","3/16/2012","C4","Closed","2.50","0.000","1.750"
"00129164","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Found while testing BVC-117521","5.2.1","","","3/12/2012","C4","Closed","","0.000","0.750"
"00128903","Strategic  Integration","PIE","Igor Gubernat","Smyths Toys","Validating feed","5.5.1","","","4/24/2012","","In Progress","2.25","2.000","9.500"
"00128694","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","homedecorators: migrate ui version 4.7 -> 5.1","5.3.0","","","3/22/2012","C4","Closed","3.00","0.000","3.000"
"00128501","Strategic  Integration","PIE","Igor Gubernat","DRL Ltd","Migration of Social Alerts from White Label to client Exact Target Accout","5.5.1","","","5/3/2012","C5","In Progress","","1.500","1.500"
"00127781","Support Team","","Igor Gubernat","Briggs & Stratton Corporation","Social Alert/Notification to be Turned on when Client Responds to Review or Question","5.3.0","Social Alerts","5.3.0","5/2/2012","","Awaiting Client Response","3.00","1.500","3.000"
"00127764","Support Team","","Igor Gubernat","Travelocity","Review Guidelines and User Agreement","5.3.0","Text Change","5.3.0","3/22/2012","C2","Closed","8.50","2.000","8.500"
"00127738","Support Team","","Igor Gubernat","Bazaarvoice","SCI for Target Portraits and JCP Portraits","5.2.0","SCI","5.2.0","3/6/2012","C4","Closed","","0.000","5.500"
"00127716","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","texasexes: migrate ui version 4.7 -> 5.1","5.2.1","","","3/12/2012","C4","Closed","2.00","0.000","2.000"
"00127715","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","destinationmaternity: Migrate UI version 4.7 -> 5.1","5.2.0","","","3/6/2012","C4","Closed","2.50","0.000","2.750"
"00127713","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","orion: Migrate UI version 4.9 -> 5.1","5.2.0","","","3/7/2012","C4","Closed","","0.000","2.000"
"00127712","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","navitor: Migrate UI version 4.8 -> 5.1","5.2.0","","","3/7/2012","C4","Closed","2.50","0.000","2.500"
"00127339","Support Team","","Igor Gubernat","GE Appliances","RE: Feed error / quick note..  <GE Issue>","5.2.0","Feed Edit","5.2.0","4/3/2012","","Closed","0.25","1.000","0.500"
"00127145","Support Team","","Igor Gubernat","Texas Exes","Move standard feeds to daily","5.1.6","Feed Edit","5.2.0","3/6/2012","C2","Closed","","0.500","0.750"
"00126809","Support Team","","Igor Gubernat","Home Decorators Collection","Total # Reviews & Star Color on PIP","5.1.5","Minor UI Change","5.1.5","3/4/2012","C4","Closed","0.50","0.750","1.000"
"00126801","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","pharmavite: migrate ui version 4.9 -> 5.1","5.2.0","","","3/7/2012","C4","Closed","2.00","0.000","2.000"
